TeamName,Discipline,Country,Event
China,Swimming,People's Republic of China,Women's 4 x 100m Freestyle Relay
Croatia,Table Tennis,Croatia,Men's Team
Australia,Rugby Sevens,Australia,Men
Canada,Athletics,Canada,Men's 4 x 100m Relay
Japan,Swimming,Japan,Women's 4 x 100m Medley Relay
Germany,Cycling Track,Germany,Men's Team Pursuit
Egypt,Table Tennis,Egypt,Men's Team
Italy,Swimming,Italy,Women's 4 x 100m Medley Relay
Great Britain,Athletics,Great Britain,Men's 4 x 100m Relay
Australia,Football,Australia,Women
Great Britain,Archery,Great Britain,Mixed Team
Germany,Athletics,Germany,Women's 4 x 100m Relay
Egypt,Rhythmic Gymnastics,Egypt,Group All-Around
New Zealand,Cycling Track,New Zealand,Men's Team Pursuit
France,Athletics,France,Women's 4 x 100m Relay
Canada,Swimming,Canada,Mixed 4 x 100m Medley Relay
Montenegro,Water Polo,Montenegro,Men
China,Swimming,People's Republic of China,Men's 4 x 100m Medley Relay
France,Fencing,France,Men's Foil Team
Kazakhstan,Water Polo,Kazakhstan,Men
Japan,Archery,Japan,Men's Team
Bryl/Fijalek,Beach Volleyball,Poland,Men
ROC,Swimming,ROC,Women's 4 x 200m Freestyle Relay
Australia,Artistic Swimming,Australia,Team
Azerbaijan,Rhythmic Gymnastics,Azerbaijan,Group All-Around
South Africa,Swimming,South Africa,Women's 4 x 100m Medley Relay
Japan,Archery,Japan,Women's Team
France,Fencing,France,Women's Sabre Team
France,Cycling Track,France,Women's Team Pursuit
Norway,Handball,Norway,Women
Japan,Table Tennis,Japan,Men's Team
"Hong Kong, China",Table Tennis,"Hong Kong, China",Women's Team
Kenya,Rugby Sevens,Kenya,Women
Evandro/Bruno Schmidt,Beach Volleyball,Brazil,Men
ROC,Cycling Track,ROC,Men's Team Sprint
Belarus,Swimming,Belarus,Mixed 4 x 100m Medley Relay
Italy,Artistic Gymnastics,Italy,Women's Team
Denmark,Swimming,Denmark,Women's 4 x 100m Freestyle Relay
Azaad/Capogrosso,Beach Volleyball,Argentina,Men
Australia,Table Tennis,Australia,Women's Team
Italy,Swimming,Italy,Mixed 4 x 100m Medley Relay
Turkey,Swimming,Turkey,Women's 4 x 200m Freestyle Relay
Lidy/Leila,Beach Volleyball,Cuba,Women
France,Swimming,France,Women's 4 x 200m Freestyle Relay
HU Heming / TAPPER Melissa,Table Tennis,Australia,Mixed Doubles
Brazil,Artistic Gymnastics,Brazil,Men's Team
Stam/Schoon,Beach Volleyball,Netherlands,Women
Ireland,Cycling Track,Ireland,Men's Madison
Brazil,Table Tennis,Brazil,Women's Team
China,Artistic Gymnastics,People's Republic of China,Men's Team
Ireland,Hockey,Ireland,Women
Estonia,Fencing,Estonia,Women's �p�e Team
Japan,Fencing,Japan,Men's �p�e Team
Bahamas,Athletics,Bahamas,Women's 4 x 400m Relay
Netherlands,Hockey,Netherlands,Women
Canada,Swimming,Canada,Women's 4 x 100m Medley Relay
IONESCU Ovidiu / SZOCS Bernadette,Table Tennis,Romania,Mixed Doubles
Kenya,Volleyball,Kenya,Women
Netherlands,Cycling Track,Netherlands,Women's Team Sprint
Germany,Fencing,Germany,Men's Foil Team
Menegatti/Orsi Toth,Beach Volleyball,Italy,Women
Japan,Swimming,Japan,Men's 4 x 100m Medley Relay
India,Archery,India,Mixed Team
Japan,3x3 Basketball,Japan,Men
Japan,Artistic Swimming,Japan,Duet
ROC,Water Polo,ROC,Women
China,Water Polo,People's Republic of China,Women
Cherif/Ahmed,Beach Volleyball,Qatar,Men
Spain,Athletics,Spain,4 x 400m Relay Mixed
Great Britain,Athletics,Great Britain,4 x 400m Relay Mixed
Turkey,Archery,Turkey,Mixed Team
Egypt,Handball,Egypt,Men
ROC,Swimming,ROC,Men's 4 x 100m Freestyle Relay
ROC,Fencing,ROC,Women's Sabre Team
Germany,Swimming,Germany,Women's 4 x 200m Freestyle Relay
Sweden,Swimming,Sweden,Women's 4 x 100m Freestyle Relay
Italy,Fencing,Italy,Men's Foil Team
Nigeria,Athletics,Nigeria,4 x 400m Relay Mixed
Australia,Hockey,Australia,Women
Italy,Basketball,Italy,Men
Italy,Athletics,Italy,Women's 4 x 100m Relay
Montenegro,Handball,Montenegro,Women
Denmark,Cycling Track,Denmark,Men's Madison
Great Britain,Football,Great Britain,Women
France,Swimming,France,Men's 4 x 200m Freestyle Relay
Sude/Borger,Beach Volleyball,Germany,Women
FEGERL Stefan / POLCANOVA Sofia,Table Tennis,Austria,Mixed Doubles
China,Hockey,People's Republic of China,Women
ROC,3x3 Basketball,ROC,Women
ASSAR Omar / MESHREF Dina,Table Tennis,Egypt,Mixed Doubles
Germany,Archery,Germany,Mixed Team
Hungary,Handball,Hungary,Women
Republic of Korea,Swimming,Republic of Korea,Men's 4 x 200m Freestyle Relay
Romania,Football,Romania,Men
Israel,Swimming,Israel,Mixed 4 x 100m Medley Relay
Angola,Handball,Angola,Women
Claes/Sponcil,Beach Volleyball,United States of America,Women
Japan,Artistic Gymnastics,Japan,Women's Team
Japan,Artistic Swimming,Japan,Team
Italy,Cycling Track,Italy,Men's Team Pursuit
ROC,Swimming,ROC,Mixed 4 x 100m Medley Relay
Carambula/Rossi,Beach Volleyball,Italy,Men
Netherlands,Swimming,Netherlands,Mixed 4 x 100m Medley Relay
Romania,Table Tennis,Romania,Women's Team
Japan,Cycling Track,Japan,Women's Madison
Ukraine,Archery,Ukraine,Mixed Team
Honduras,Football,Honduras,Men
Egypt,Archery,Egypt,Mixed Team
Great Britain,Swimming,Great Britain,Men's 4 x 100m Freestyle Relay
Spain,Water Polo,Spain,Women
Switzerland,Athletics,Switzerland,Women's 4 x 400m Relay
France,Athletics,France,Men's 4 x 400m Relay
Australia,Table Tennis,Australia,Men's Team
ROC,Volleyball,ROC,Women
Germany,Swimming,Germany,Men's 4 x 100m Medley Relay
United States,Water Polo,United States of America,Women
Japan,Hockey,Japan,Men
Malaysia,Archery,Malaysia,Mixed Team
Vietnam,Archery,Vietnam,Mixed Team
Republic of Korea,Fencing,Republic of Korea,Women's �p�e Team
Republic of Korea,Basketball,Republic of Korea,Women
Republic of Korea,Archery,Republic of Korea,Women's Team
Netherlands,Football,Netherlands,Women
Dominican Rep.,Athletics,Dominican Republic,4 x 400m Relay Mixed
Canada,Swimming,Canada,Men's 4 x 100m Medley Relay
Jamaica,Athletics,Jamaica,Women's 4 x 100m Relay
Brazil,Handball,Brazil,Men
Germany,Football,Germany,Men
France,Cycling Track,France,Men's Madison
Abicha/Elgraoui,Beach Volleyball,Morocco,Men
Germany,Cycling Track,Germany,Women's Team Pursuit
"Hong Kong, China",Cycling Track,"Hong Kong, China",Women's Madison
Canada,Triathlon,Canada,Mixed Relay
Italy,Fencing,Italy,Women's Sabre Team
Herrera/Gavira,Beach Volleyball,Spain,Men
Great Britain,Hockey,Great Britain,Women
"Hong Kong, China",Table Tennis,"Hong Kong, China",Men's Team
Kazakhstan,Archery,Kazakhstan,Men's Team
Canada,Swimming,Canada,Women's 4 x 100m Freestyle Relay
Netherlands,Artistic Gymnastics,Netherlands,Women's Team
China,Table Tennis,People's Republic of China,Men's Team
India,Athletics,India,Men's 4 x 400m Relay
ROC,Triathlon,ROC,Mixed Relay
Czech Republic,Swimming,Czech Republic,Women's 4 x 100m Freestyle Relay
China,Cycling Track,People's Republic of China,Women's Team Sprint
Spain,Basketball,Spain,Men
Japan,Volleyball,Japan,Men
Switzerland,Fencing,Switzerland,Men's �p�e Team
Heidrich/Gerson,Beach Volleyball,Switzerland,Men
Bahrain,Handball,Bahrain,Men
Brazil,Archery,Brazil,Mixed Team
Spain,Handball,Spain,Women
Poland,Athletics,Poland,Women's 4 x 400m Relay
United States,Fencing,United States of America,Women's Foil Team
Japan,Fencing,Japan,Women's Foil Team
"Hong Kong, China",Fencing,"Hong Kong, China",Men's Foil Team
China,Archery,People's Republic of China,Women's Team
South Africa,Water Polo,South Africa,Men
Japan,Athletics,Japan,Men's 4 x 100m Relay
ROC,Fencing,ROC,Men's �p�e Team
South Africa,Triathlon,South Africa,Mixed Relay
Egypt,Fencing,Egypt,Women's Foil Team
Brazil,Swimming,Brazil,Men's 4 x 200m Freestyle Relay
Serbia,Swimming,Serbia,Men's 4 x 100m Freestyle Relay
Norway,Handball,Norway,Men
Greece,Swimming,Greece,Mixed 4 x 100m Medley Relay
Wang/X.Y.Xia,Beach Volleyball,People's Republic of China,Women
Great Britain,Rugby Sevens,Great Britain,Women
China,Artistic Gymnastics,People's Republic of China,Women's Team
Belgium,Hockey,Belgium,Men
Plavins/Tocs,Beach Volleyball,Latvia,Men
Germany,Cycling Track,Germany,Women's Madison
China,Athletics,People's Republic of China,Men's 4 x 100m Relay
SZUDI Adam / PERGEL Szandra,Table Tennis,Hungary,Mixed Doubles
France,Basketball,France,Men
Great Britain,Cycling Track,Great Britain,Men's Madison
Argentina,Handball,Argentina,Men
"Verge-Depre, A./Heidrich",Beach Volleyball,Switzerland,Women
Germany,Cycling Track,Germany,Men's Team Sprint
United States,Volleyball,United States of America,Women
Great Britain,Athletics,Great Britain,Women's 4 x 100m Relay
Bulgaria,Rhythmic Gymnastics,Bulgaria,Group All-Around
France,Table Tennis,France,Women's Team
LIN Yun Ju / CHENG I Ching,Table Tennis,Chinese Taipei,Mixed Doubles
New Zealand,Rugby Sevens,New Zealand,Women
Republic of Korea,Handball,Republic of Korea,Women
Germany,Athletics,Germany,4 x 400m Relay Mixed
Botswana,Athletics,Botswana,Men's 4 x 400m Relay
United States,Athletics,United States of America,Women's 4 x 100m Relay
Switzerland,Artistic Gymnastics,Switzerland,Men's Team
India,Archery,India,Men's Team
Spain,Artistic Gymnastics,Spain,Men's Team
Spain,Swimming,Spain,Women's 4 x 100m Medley Relay
United States,Swimming,United States of America,Women's 4 x 100m Medley Relay
Switzerland,Cycling Track,Switzerland,Men's Team Pursuit
Belgium,Athletics,Belgium,Women's 4 x 400m Relay
Argentina,Rugby Sevens,Argentina,Men
United States,Swimming,United States of America,Men's 4 x 100m Freestyle Relay
Republic of Korea,Table Tennis,Republic of Korea,Women's Team
Serbia,Table Tennis,Serbia,Men's Team
Republic of Korea,Fencing,Republic of Korea,Women's Sabre Team
Poland,Cycling Track,Poland,Men's Madison
Ukraine,Cycling Track,Ukraine,Women's Team Sprint
Spain,Artistic Swimming,Spain,Duet
Japan,Basketball,Japan,Men
Hungary,Swimming,Hungary,Women's 4 x 200m Freestyle Relay
Mexico,Triathlon,Mexico,Mixed Relay
Mexico,Baseball/Softball,Mexico,Softball
Trinidad & Tobago,Athletics,Trinidad and Tobago,Women's 4 x 100m Relay
Australia,Football,Australia,Men
Brazil,Rugby Sevens,Brazil,Women
France,Triathlon,France,Mixed Relay
France,Swimming,France,Men's 4 x 100m Medley Relay
Brazil,Swimming,Brazil,Women's 4 x 200m Freestyle Relay
Netherlands,Cycling Track,Netherlands,Men's Madison
Chinese Taipei,Table Tennis,Chinese Taipei,Men's Team
Great Britain,Cycling Track,Great Britain,Men's Team Pursuit
Hermannova/Slukova,Beach Volleyball,Czech Republic,Women
Brazil,Rhythmic Gymnastics,Brazil,Group All-Around
Thole J./Wickler,Beach Volleyball,Germany,Men
Great Britain,Cycling Track,Great Britain,Men's Team Sprint
Republic of Korea,Rugby Sevens,Republic of Korea,Men
France,Cycling Track,France,Women's Madison
ROC,Volleyball,ROC,Men
Great Britain,Swimming,Great Britain,Women's 4 x 100m Freestyle Relay
United States,3x3 Basketball,United States of America,Women
Australia,Swimming,Australia,Women's 4 x 100m Medley Relay
Japan,Baseball/Softball,Japan,Baseball
Lucena/Dalhausser,Beach Volleyball,United States of America,Men
Poland,Fencing,Poland,Women's �p�e Team
Australia,Basketball,Australia,Women
Italy,Archery,Italy,Mixed Team
Ukraine,Rhythmic Gymnastics,Ukraine,Group All-Around
Brazil,Volleyball,Brazil,Men
Hungary,Fencing,Hungary,Women's Sabre Team
United States,Basketball,United States of America,Men
Spain,Basketball,Spain,Women
Germany,Swimming,Germany,Women's 4 x 100m Medley Relay
Netherlands,Cycling Track,Netherlands,Men's Team Sprint
Canada,Volleyball,Canada,Men
Turkey,Volleyball,Turkey,Women
Brazil,Football,Brazil,Men
Nicolai/Lupo,Beach Volleyball,Italy,Men
Belgium,Athletics,Belgium,4 x 400m Relay Mixed
Slovenia,Basketball,Slovenia,Men
Italy,Baseball/Softball,Italy,Softball
Germany,Cycling Track,Germany,Men's Madison
Japan,Rugby Sevens,Japan,Men
