Name,Country,Discipline,Event
GISLASON Alfred,Germany,Handball,Men
SMITH Darren,New Zealand,Hockey,Men
TILLIE Laurent,France,Volleyball,Men
KERRY Danny,Great Britain,Hockey,Men
BERG Laura,United States of America,Baseball/Softball,Softball
TAGLE German,Chile,Football,
MENTOOR Delaine,South Africa,Water Polo,Women
SCARIOLO Sergio,Spain,Basketball,Men
KAZAMA Takafumi,Japan,Football,
TERZIC Zoran,Serbia,Volleyball,Women
HAIDARA Soualiho,C�te d'Ivoire,Football,Men
NAIDOO Taren,South Africa,Hockey,Women
de VOS Robbert-Jan,Netherlands,Hockey,
STANIFORTH Dave,Australia,Hockey,
ABE Junya,Japan,Volleyball,
BRUN Aristide,Austria,Artistic Swimming,
MOTOMIYA Makihiro,Japan,Water Polo,Women
ARNOLD Graham,Australia,Football,Men
TARRES CAMPA Ana,Greece,Artistic Swimming,Duet
GUERRERO Rolando,Mexico,Baseball/Softball,Softball
JACOBSEN Nikolaj,Denmark,Handball,Men
JARDINE Andre,Brazil,Football,Men
KULESZA Katarzyna,Canada,Artistic Swimming,Team
SPERONI Stefania,Great Britain,Artistic Swimming,Duet
CASAREZ Mary Lucy,Japan,Baseball/Softball,Softball
XU Limin,People's Republic of China,Basketball,Women
VLACHOS Theodoros,Greece,Water Polo,Men
KIRALY Karch,United States of America,Volleyball,Women
GOJKOVIC Vladimir,Montenegro,Water Polo,Men
RADOI Mirel,Romania,Football,Men
MWAPE Bruce,Zambia,Football,Women
BRONDELLO Sandy,Australia,Basketball,Women
MIRET GARCIA Daniel,Spain,Basketball,
LOZANO Jaime,Mexico,Football,Men
ABE Katsuhiko,Japan,Basketball,
BASILIO Mel,Canada,Baseball/Softball,Softball
KIRKPATRICK Andrew,Australia,Baseball/Softball,Softball
BENCIC Filip,Serbia,Basketball,
BATISTA SANTIAGO Gerardo,Puerto Rico,Basketball,Women
STALEY Dawn,United States of America,Basketball,Women
KRIST JANSSON Aron,Bahrain,Handball,Men
NCUBE Mthandazo,South Africa,Football,
DURO Fernando,Venezuela,Basketball,
DANCHENKO Tatiana,ROC,Artistic Swimming,Duet
GRAINGER Adam,Ireland,Hockey,
RILLIE John,Australia,Basketball,
SEO Chun Oh,Republic of Korea,Rugby Sevens,Men
MACEK Anze,Slovenia,Basketball,
CRUZ Filipe,Angola,Handball,Women
BLENGINI Gianlorenzo,Italy,Volleyball,Men
FERRARO Hernan,Argentina,Volleyball,Women
HUGHES Daniel,United States of America,Basketball,
MUNOZ Noe de Jesus,Mexico,Baseball/Softball,Baseball
HENKEL Claas,Germany,Hockey,Men
CHERNETSKA Natalia,Greece,Artistic Swimming,Team
HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,
CAMPAGNA Alessandro,Italy,Water Polo,Men
ZIJP Simon,Netherlands,Hockey,
MENGUAL CIVIL Gemma,Spain,Artistic Swimming,
TURNER Glenn,New Zealand,Hockey,Men
GARCIA Nestor,Dominican Republic,Basketball,
ADAMA Cherif,C�te d'Ivoire,Football,
HERNANDEZ Sergio,Argentina,Basketball,Men
ROQUES Anthony,Great Britain,Rugby Sevens,Men
KIM Hagbum,Republic of Korea,Football,Men
BERGE Christian,Norway,Handball,Men
AIKMAN Siegfried Gottlieb,Japan,Hockey,Men
GIACOBBE Antonio,Tunisia,Volleyball,Men
DAZA Fabian,Chile,Football,
OLOO Felix,Kenya,Rugby Sevens,Women
KIRKELY Ulrik,Japan,Handball,Women
WANG Jie,People's Republic of China,Artistic Swimming,Team
DORE Karine,Canada,Artistic Swimming,
HOVASSE Thomas Wayne,Japan,Basketball,Women
IWABUCHI Kensuke,Japan,Rugby Sevens,Men
MATSUODANI Yasushi,Japan,Football,
PAUL Henry,Canada,Rugby Sevens,Men
CHEPAK Anastasiya,Egypt,Artistic Swimming,Duet
MIYAKAWA Miya,Japan,Artistic Swimming,
SAVIC Dejan,Serbia,Water Polo,Men
GARNIER Valerie,France,Basketball,Women
ALAMEDA Lonni,Canada,Baseball/Softball,Softball
RETEGUI Carlos Jose,Argentina,Hockey,Women
FISH Nathan,Israel,Baseball/Softball,Baseball
HEYNEN Vital,Poland,Volleyball,Men
ANDONOVSKI Vlatko,United States of America,Football,Women
SZAUDER Gabor,Canada,Artistic Swimming,Team
PANTOJA Hernan,Venezuela,Volleyball,
FABRE Julie,France,Artistic Swimming,Duet
CARO Carlos,Mexico,Baseball/Softball,Softball
ALLER CARBALLO Manuel Angel,Spain,Basketball,
TOMOMATSU Yumiko,Italy,Artistic Swimming,
RETEGUI Carlos Jose,Argentina,Hockey,Men
BIRO Attila,Hungary,Water Polo,Women
RIISE Hege,Great Britain,Football,Women
SACCHETTI Romeo,Italy,Basketball,Men
FRIDAY Mike,United States of America,Rugby Sevens,Men
CALDAS Max,Netherlands,Hockey,Men
CRESPI JAUME Margalida,Colombia,Artistic Swimming,
MARTIN Paul,South Africa,Water Polo,Men
LOPEZ Monica Susana,Argentina,Artistic Swimming,
DAL ZOTTO Renan,Brazil,Volleyball,Men
PAGAN CRISTOBAL Angel,Puerto Rico,Basketball,
SVETLICHNAYA Aliona,Belarus,Artistic Swimming,Duet
MULATI Adilijiang,People's Republic of China,Basketball,
YAMAJI Noriko,Japan,Baseball/Softball,Softball
McCRORIE Christy,South Africa,Hockey,
IMURA Masayo,Japan,Artistic Swimming,
FEDIUSHYNA Tetiana,Ukraine,Artistic Swimming,
WRIGHT Jerold,United States of America,Basketball,
NAKAGAICHI Yuichi,Japan,Volleyball,Men
de la FUENTE CASTILLO Luis,Spain,Football,Men
MONDELO GARCIA Lucas,Spain,Basketball,Women
POROBIC Petar,People's Republic of China,Water Polo,Women
KRIKORIAN Adam,United States of America,Water Polo,Women
BANBULA Wojciech,Poland,Volleyball,
FOIREST Laurent,France,Basketball,
GRAUPERA Cristina,Greece,Artistic Swimming,
SZAUDER Nora,Slovakia,Artistic Swimming,
MACKINTOSH Euan Michael Gordon,People's Republic of China,Rugby Sevens,Women
ZAITSEVA Olesia,Ukraine,Artistic Swimming,Duet
McLEOD Shane,Belgium,Hockey,Men
EWING Gareth,South Africa,Hockey,Men
GORDO MANSILLA Juan David,Spain,Football,
SHAHINTAB Mehran,Islamic Republic of Iran,Basketball,Men
FARINELLI Roberta,Italy,Artistic Swimming,Team
PEREZ Jose,Venezuela,Basketball,
SMITH Mark,Canada,Baseball/Softball,Softball
GUILLEN Ronald,Venezuela,Basketball,
BAO Zhuang,People's Republic of China,Volleyball,
GIALLOMBARDO Patrizia,Italy,Artistic Swimming,Duet
ERIKSEN Ken,United States of America,Baseball/Softball,Softball
